User_ID,Calories
14733363,231.0
14861698,66.0
11179863,26.0
16180408,71.0
17771927,35.0
15130815,123.0
19602372,112.0
11117088,143.0
12132339,134.0
17964668,72.0
13723164,3.0
13681290,92.0
15566424,58.0
12891699,88.0
13823829,7.0
17557348,170.0
12198133,11.0
15236104,43.0
11042324,15.0
16864285,74.0
11674347,29.0
19797300,32.0
14711095,10.0
14434854,155.0
14893804,3.0
17231597,24.0
10901446,12.0
15874362,10.0
15569252,195.0
15615743,5.0
13363046,69.0
17572853,136.0
17157339,80.0
18328111,107.0
19303479,200.0
10699201,56.0
15283313,50.0
16324247,100.0
14277710,200.0
10888188,4.0
13379795,70.0
17181524,127.0
15988442,197.0
19538533,113.0
14591877,11.0
14274480,82.0
16818429,26.0
17476522,141.0
16369885,92.0
17816292,5.0
15995398,30.0
17615432,3.0
10146087,37.0
17967445,147.0
19670291,8.0
10580576,159.0
15854213,93.0
11138472,173.0
18276801,89.0
13823902,31.0
19222133,35.0
13231909,94.0
12726617,49.0
12538968,54.0
10941668,117.0
12628985,173.0
17691320,99.0
17822027,45.0
13777657,166.0
19423359,202.0
14701930,107.0
11513205,199.0
11842710,25.0
12576313,23.0
12367125,200.0
16913504,6.0
19439155,7.0
16137644,113.0
11622081,188.0
17374074,103.0
19096890,128.0
19628507,130.0
16918679,27.0
11194130,185.0
18863486,57.0
11754581,65.0
15161631,91.0
18735761,120.0
15878611,70.0
19249559,39.0
15469030,136.0
11157560,77.0
19576971,42.0
15048071,41.0
18707469,59.0
12598637,179.0
14342169,6.0
19208771,13.0
11790318,147.0
11756583,180.0
16417986,101.0
13065142,150.0
10481882,179.0
19521409,23.0
15862346,10.0
12234447,39.0
14624633,247.0
17074274,89.0
17636190,141.0
14345479,18.0
11772472,70.0
19087162,185.0
15875055,54.0
10939512,207.0
13616455,189.0
19118405,6.0
10503799,60.0
16572590,23.0
17336010,186.0
15483091,178.0
10006441,122.0
13075455,166.0
17564519,158.0
18789619,7.0
15444304,143.0
13122354,43.0
10692173,86.0
12890276,128.0
14339451,182.0
16626118,52.0
17268858,236.0
13816658,114.0
14191617,64.0
13672975,171.0
16361679,19.0
17739883,144.0
19341462,37.0
14117537,185.0
12667831,60.0
10661999,127.0
10366046,149.0
11523134,78.0
12275702,24.0
11190411,143.0
19686449,143.0
15565644,71.0
10154011,58.0
12676049,71.0
10228092,20.0
18997284,78.0
10836250,93.0
15883541,17.0
16990389,12.0
17046329,115.0
14136420,119.0
13138092,168.0
16655537,44.0
16245184,192.0
19157340,96.0
